Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-023-281-545_model_0_ligand,-5.22,0.20,0.4602,4.430
P4H6__Molport-027-718-654_model_0_ligand,-5.70,-0.63,0.4088,4.680
P4H6__Molport-023-297-478_model_0_ligand,-5.08,-0.55,0.3497,4.395
P4H6__Molport-023-255-952_model_0_ligand,-5.93,-0.55,0.3679,4.155
P4H6__Molport-023-267-367_model_0_ligand,-5.30,-0.26,0.2032,3.584
P4H6__Molport-027-718-762_model_0_ligand,-5.27,0.01,0.5020,4.890
P4H6__Molport-023-255-995_model_0_ligand,-5.64,4.85,0.2184,3.781
P4H6__Molport-023-276-308_model_0_ligand,-5.19,-0.56,0.2065,4.966
P4H6__Molport-027-815-041_model_0_ligand,-5.66,-0.08,0.7281,5.059
P4H6__Molport-023-333-856_model_0_ligand,-6.62,-0.93,0.4008,5.105
P4H6__Molport-027-814-713_model_0_ligand,-5.78,0.64,0.4017,5.050
P4H6__Molport-023-266-039_model_0_ligand,-5.16,-0.09,0.2651,4.106
P4H6__Molport-027-826-233_model_0_ligand,-5.81,0.39,0.4695,5.155
P4H6__Molport-027-844-637_model_0_ligand,-5.42,-0.06,0.5582,4.222
P4H6__Molport-027-603-086_model_0_ligand,-6.13,-1.35,0.1880,4.512
P4H6__Molport-027-844-437_model_0_ligand,-7.19,-0.48,0.3320,4.910
P4H6__Molport-027-866-305_model_0_ligand,-4.55,-0.53,0.3745,3.989
P4H6__Molport-027-850-662_model_0_ligand,-5.19,-0.56,0.4736,4.590
P4H6__Molport-027-858-773_model_0_ligand,-6.03,-0.46,0.2913,4.590
