Ligand_Name,Vina_Affinity(kcal/mol),Intramol,CNN_Pose_Score,CNN_Affinity
P4H6__Molport-007-834-568_model_0_ligand,-4.71,4.83,0.3538,5.418
P4H6__Molport-006-380-960_model_0_ligand,4.99,5.48,0.1290,4.603
P4H6__Molport-008-292-964_model_0_ligand,-7.94,0.88,0.4200,6.140
P4H6__Molport-008-362-610_model_0_ligand,-5.46,0.46,0.0992,3.838
P4H6__Molport-008-286-274_model_0_ligand,-6.28,-0.63,0.1907,5.545
P4H6__Molport-008-321-332_model_0_ligand,-7.09,-0.44,0.2020,4.776
P4H6__Molport-008-289-505_model_0_ligand,-3.31,2.04,0.2098,5.739
P4H6__Molport-008-286-383_model_0_ligand,-4.16,1.44,0.3496,5.986
P4H6__Molport-008-362-193_model_0_ligand,-7.33,0.40,0.3936,5.776
P4H6__Molport-008-340-817_model_0_ligand,-7.31,2.13,0.2434,5.365
P4H6__Molport-007-910-612_model_0_ligand,-2.90,-0.51,0.2065,5.820
P4H6__Molport-007-837-676_model_0_ligand,-4.99,0.63,0.4862,6.503
P4H6__Molport-007-837-641_model_0_ligand,-1.05,1.19,0.4460,6.115
P4H6__Molport-007-837-618_model_0_ligand,-1.42,-0.04,0.3808,6.239
P4H6__Molport-007-722-553_model_0_ligand,-4.08,0.46,0.1446,4.659
P4H6__Molport-008-373-761_model_0_ligand,-3.88,0.61,0.0982,3.710
P4H6__Molport-007-837-633_model_0_ligand,-0.31,1.88,0.4129,6.224
P4H6__Molport-009-723-089_model_0_ligand,-9.03,-0.44,0.4909,5.199
P4H6__Molport-008-365-934_model_0_ligand,-4.37,4.44,0.1599,5.539
P4H6__Molport-008-379-276_model_0_ligand,-6.87,0.19,0.1115,3.964
P4H6__Molport-009-749-071_model_0_ligand,-6.84,-0.25,0.3537,5.626
P4H6__Molport-009-497-251_model_0_ligand,-3.00,0.51,0.5584,4.597
P4H6__Molport-015-153-442_model_0_ligand,-1.62,-0.41,0.5976,4.272
P4H6__Molport-008-362-619_model_0_ligand,-5.31,1.46,0.1844,4.739
P4H6__Molport-016-609-747_model_0_ligand,-0.32,0.43,0.1854,3.895
P4H6__Molport-016-641-490_model_0_ligand,FAILED,FAILED,FAILED,FAILED
P4H6__Molport-010-854-530_model_0_ligand,-4.68,0.08,0.2142,4.233
P4H6__Molport-009-748-378_model_0_ligand,-6.36,-0.33,0.2052,5.018
P4H6__Molport-016-590-266_model_0_ligand,13.88,0.40,0.2682,4.635
P4H6__Molport-010-911-058_model_0_ligand,-2.04,3.76,0.2654,5.850
P4H6__Molport-016-684-633_model_0_ligand,8.32,3.77,0.1582,4.994
P4H6__Molport-019-784-041_model_0_ligand,-6.50,2.40,0.2565,5.028
P4H6__Molport-010-769-323_model_0_ligand,-3.62,-0.27,0.2519,6.110
P4H6__Molport-019-806-470_model_0_ligand,-0.74,0.53,0.1286,3.868
P4H6__Molport-010-967-918_model_0_ligand,-4.28,-0.12,0.2710,5.931
P4H6__Molport-016-698-684_model_0_ligand,-2.09,0.85,0.1965,4.596
P4H6__Molport-016-698-698_model_0_ligand,-2.00,1.13,0.1896,4.495
P4H6__Molport-019-806-860_model_0_ligand,0.33,-0.48,0.2045,4.983
P4H6__Molport-016-706-731_model_0_ligand,-3.80,-0.18,0.1217,4.579
P4H6__Molport-016-702-138_model_0_ligand,11.46,4.84,0.1387,5.185
P4H6__Molport-019-795-835_model_0_ligand,-6.20,0.22,0.5168,5.612
P4H6__Molport-016-702-122_model_0_ligand,3.35,0.28,0.2154,5.900
P4H6__Molport-019-628-452_model_0_ligand,-4.63,1.99,0.2108,4.779
P4H6__Molport-019-892-255_model_0_ligand,8.05,-0.48,0.1752,4.443
P4H6__Molport-019-565-760_model_0_ligand,-5.20,0.99,0.2288,4.618
P4H6__Molport-019-826-531_model_0_ligand,-5.13,2.60,0.2432,4.568
P4H6__Molport-019-891-948_model_0_ligand,-0.70,-0.53,0.4024,5.652
P4H6__Molport-020-233-359_model_0_ligand,1.99,0.93,0.2897,4.589
P4H6__Molport-019-892-860_model_0_ligand,-5.68,0.71,0.2189,4.032
P4H6__Molport-020-210-190_model_0_ligand,7.29,2.22,0.2082,4.617
P4H6__Molport-020-288-603_model_0_ligand,1.59,-0.50,0.2478,5.414
P4H6__Molport-020-223-654_model_0_ligand,-7.27,-0.46,0.2470,5.291
P4H6__Molport-022-379-188_model_0_ligand,-6.00,4.25,0.4209,3.821
P4H6__Molport-021-756-125_model_0_ligand,3.93,2.35,0.3342,4.698
P4H6__Molport-020-293-604_model_0_ligand,1.19,-0.15,0.1183,5.521
P4H6__Molport-019-907-574_model_0_ligand,-6.91,1.55,0.2008,3.898
P4H6__Molport-020-240-194_model_0_ligand,-2.51,-0.28,0.3295,4.555
P4H6__Molport-022-384-912_model_0_ligand,-5.74,-0.19,0.6333,4.970
P4H6__Molport-019-950-260_model_0_ligand,-4.58,0.25,0.3298,4.614
P4H6__Molport-019-909-569_model_0_ligand,-3.82,-0.78,0.1526,4.614
P4H6__Molport-023-209-293_model_0_ligand,-6.33,-0.02,0.4940,4.906
P4H6__Molport-021-766-840_model_0_ligand,4.17,1.17,0.2258,4.960
P4H6__Molport-021-768-983_model_0_ligand,-3.30,-0.15,0.2023,4.758
P4H6__Molport-021-778-511_model_0_ligand,1.93,-0.33,0.2699,5.224
P4H6__Molport-021-772-937_model_0_ligand,-0.14,1.28,0.1199,4.800
P4H6__Molport-023-204-798_model_0_ligand,-6.53,0.65,0.5274,5.520
P4H6__Molport-021-773-379_model_0_ligand,5.11,7.42,0.1458,4.193
P4H6__Molport-021-804-487_model_0_ligand,-5.82,0.27,0.4074,4.293
P4H6__Molport-020-288-986_model_0_ligand,-4.53,1.26,0.1682,5.618
P4H6__Molport-023-252-365_model_0_ligand,4.16,-0.85,0.3202,5.362
P4H6__Molport-023-212-329_model_0_ligand,-6.92,-0.39,0.1667,5.045
P4H6__Molport-023-251-143_model_0_ligand,3.82,2.48,0.2547,4.952
P4H6__Molport-023-255-952_model_0_ligand,-1.65,0.33,0.2690,5.081
P4H6__Molport-023-297-478_model_0_ligand,-7.83,0.68,0.2703,5.245
P4H6__Molport-023-261-001_model_0_ligand,-0.97,0.03,0.2930,4.898
P4H6__Molport-023-208-790_model_0_ligand,-1.25,6.09,0.2280,5.343
P4H6__Molport-023-281-545_model_0_ligand,-6.11,0.32,0.6145,4.892
P4H6__Molport-023-279-013_model_0_ligand,-7.09,-0.45,0.2349,3.062
P4H6__Molport-023-316-305_model_0_ligand,-2.83,2.77,0.2814,5.148
P4H6__Molport-027-718-654_model_0_ligand,-0.20,-0.66,0.3670,4.704
P4H6__Molport-023-272-931_model_0_ligand,8.06,0.38,0.2869,4.580
P4H6__Molport-023-267-367_model_0_ligand,-5.11,2.85,0.1874,5.197
P4H6__Molport-027-815-041_model_0_ligand,-7.09,-0.38,0.2481,5.387
P4H6__Molport-023-255-995_model_0_ligand,-6.71,1.11,0.1363,4.353
P4H6__Molport-023-333-856_model_0_ligand,-1.51,-0.91,0.2843,4.853
P4H6__Molport-027-718-762_model_0_ligand,2.86,1.30,0.4225,5.261
P4H6__Molport-027-603-086_model_0_ligand,-7.48,-0.17,0.1375,4.327
P4H6__Molport-023-276-308_model_0_ligand,1.81,-0.25,0.3454,6.040
P4H6__Molport-027-718-100_model_0_ligand,-4.11,0.97,0.1238,5.035
P4H6__Molport-027-820-436_model_0_ligand,-4.22,0.10,0.1247,4.129
P4H6__Molport-027-844-637_model_0_ligand,-4.14,-0.07,0.3802,4.875
P4H6__Molport-027-814-713_model_0_ligand,-5.01,-0.46,0.3290,5.526
P4H6__Molport-027-826-233_model_0_ligand,-4.92,-0.16,0.2909,5.435
P4H6__Molport-023-266-039_model_0_ligand,-6.84,-0.06,0.1619,4.528
P4H6__Molport-027-844-437_model_0_ligand,-2.92,-0.85,0.3994,6.054
P4H6__Molport-027-850-662_model_0_ligand,-7.48,-0.10,0.5470,5.140
P4H6__Molport-027-870-190_model_0_ligand,11.65,2.71,0.2537,5.172
P4H6__Molport-027-881-843_model_0_ligand,11.26,1.30,0.3277,5.195
P4H6__Molport-028-575-003_model_0_ligand,0.18,-0.36,0.3374,4.984
P4H6__Molport-027-866-722_model_0_ligand,-1.88,0.73,0.4652,5.176
P4H6__Molport-027-858-773_model_0_ligand,8.38,1.85,0.2321,5.235
P4H6__Molport-027-866-305_model_0_ligand,-0.93,-0.37,0.3048,4.653
