ligand_id,smiles,no_2og_binary,no_2og_pred_value,no_2og_ligand_iptm
P4H6__Molport-051-754-244,CCCc1cc(no1)C(=O)N1C[C@@H]2[C@H](CNC(=O)c3ccc[nH]3)[C@H]3CC[C@]2(C1)O3,0.809976518,-1.114646673,0.971096635
P4H6__Molport-051-752-477,COc1ccc(F)cc1C(=O)N1C[C@@H]2[C@H](CNC(=O)c3ccc[nH]3)[C@H]3CC[C@]2(C1)O3,0.809812188,-0.133985996,0.965236485
P4H6__Molport-047-264-904,O=C(N1CCC2(COC(COCC3CC3)C2)CC1)c1cocn1,0.809025764,-0.487919807,0.975939095
P4H6__Molport-000-093-147,CCOC(=O)C1(C)NC(C2C1C(=O)N(C2=O)c1cccc(OC)c1)c1ccc(OC)c(OC)c1,0.808416486,-1.13365531,0.959442019
P4H6__Molport-016-702-138,CCN1CC(CC1=O)C(=O)NC1CC(C)(C)Cc2nc(ncc12)-c1cnccn1,0.807591975,-0.10662365,0.973697722
P4H6__Molport-000-190-206,Cc1cc2OC(N)=C(C#N)C(c3ccc4OCOc4c3)c2c(=O)[nH]1,0.807485282,-0.554322481,0.959891498
P4H6__Molport-047-142-994,O=C(C1CCCCC1)N1CC2(C1)C(CCS2(=O)=O)c1nc(no1)-c1ccccn1,0.80718714,-0.575056314,0.973557472
P4H6__Molport-047-067-330,Clc1cccc(OCC2(CC(=O)N3CCOCC3)CN(CCO2)C(=O)c2ccccn2)c1,0.806922078,-0.798980474,0.964507103
P4H6__Molport-002-534-554,OC(C(O)c1ccc(cc1)C(O)=O)c1ccccc1,0.806488276,0.679954767,0.98774147
P4H6__Molport-004-786-922,OC(=O)c1ccc2cc(O)c(O)cc2c1,0.806348681,0.26478982,0.972452343
P4H6__Molport-000-073-281,CC(C)NC(=O)CN(C(=O)CCC(=O)Nc1nccs1)c1ccc2OCCOc2c1,0.805842996,-0.982037544,0.950221598
P4H6__Molport-003-142-953,Clc1cccc(c1)N1CCN(Cc2cc(=O)c(OCC(=O)N3CCOCC3)co2)CC1,0.805835068,-0.51279521,0.978422999
P4H6__Molport-000-656-593,OC(=O)COc1ccc(C(=O)Cc2ccc3OCCCOc3c2)c(O)c1,0.805488706,-0.028946161,0.962591946
P4H6__Molport-047-661-128,Cc1nc(cs1)C(=O)N1CCOC(C1)c1cn2c(cccc2n1)N1CCOCC1,0.805321097,-0.878338099,0.966555059
